Groupe,Soil,Treatment,plant,number of leaves,height (cm),fresh shoot biomass (g),fresh root biomass (g) (without seed),Total pot soil mass (g),height of soil in the pot (cm),Dry shoot biomass (g),Dry root biomass (g) (without seed),Small amount of fresh soil (g),Small amount of dry soil (g),Plant N-NO3 (mg),Soil N-NO3 (mg),Plant P-PO4  (mg),Soil P-PO4  (mg),NBI Leaf 1,NBI Leaf 2,NBI Leaf 3 (2 measures),NBI Leaf 4,NBI Leaf 5,Chl Leaf 1,Chl Leaf 2,Chl Leaf 3 (2 measures),Chl Leaf 4,Chloro Leaf 5,Antho Leaf 1,Antho Leaf 2,Antho Leaf 3,Antho Leaf 4,Antho Leaf 5,Flavo Leaf 1,Flavo Leaf 2,Flavo Leaf 3,Flavo Leaf 4,Flavo Leaf 5
1,Peat,Drought,1,,"15,5","0,36","0,65",995,"19,5","0,05","0,08","19,5","6,4",Nan,"14,85",,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,
1,Peat,Drought,2,,10,,,,,,,,,,,,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,
1,Peat,Drought,3,,3,,,,,,,,,,,,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,
1,Soil,Drought,1,,64,"14,7","4,6",2480,"15,5","2,07","0,93","20,19","16,4",more than 35,"7,31",,,"85,3",51,"108,6;86,9","286,7;161,5",,28,30,"23,2;19,4","27,5;25,6",,"0,61","0,57","0,61;0,66","0,66;0,6",,"0,33","0,59","0,21;0,22","0,1;0,16",
1,Soil,Drought,2,,60,,,,,,,,,,,,,"59,5;161,4","90,3;316,6","30,2;388,7","49,2",,"27,4;27,7","23,9;16,6","25,3;30,1","26,9",,"0,57;0,55","0,6;0,69","0,57;0,59","0,61",,"0,46;0,17","0,27;0,05","0,84;0,08","0,55",
1,Soil,Drought,3,,"19,8",,,,,,,,,,,,,"392,4",Nan,Nan,Nan,,"18,7",Nan,Nan,Nan,,"0,7",Nan,Nan,Nan,,"0,05",Nan,Nan,Nan,
1,Peat,Char,1,,"18,5","0,35","0,4",1450,"20,5","0,05","0,07","18,3","4,2",Nan,"13,17",,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,
2,Peat,Cont,1,,13,"0,112","0,121",/,20,"0,03","0,02","19,33","4,87",Nan,"10,6",Nan,"3,66",Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,,Nan,Nan,Nan,Nan,
2,Soil,Char,2,,64,"10,85","4,12",/,15,"0,9","0,69","30,99","24,815","22,26","6,71",<2,"4,96","58,3","59,2","144,2",Nan,,"19,2","21,4","11,3",Nan,,"0,68","0,66","0,84",Nan,,"0,33","0,36","0,08",Nan,
2,Peat,Char,2,,7,"0,169","0,063",/,19,"0,02",0,"18,803","5,48",Nan,"14,75",Nan,<2,"103,1",Nan,Nan,Nan,,"14,5",Nan,Nan,Nan,,"0,69",Nan,Nan,Nan,,"0,14",Nan,Nan,Nan,
